caller|called|type|start_time|dur_sec|imei|imsi|tower_id|location
9123456789|9876543210|OUT|2026-09-08 10:05:23|214|359871042256641|404452345678901|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9123456789|9876543210|SMS-OUT|2026-09-08 10:19:44|0|359871042256641|404452345678901|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9876543210|9123456789|IN|2026-09-08 10:26:02|96|359871042256641|404452345678901|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9123456789|9812345670|OUT|2026-09-08 10:29:11|61|359871042256641|404452345678901|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9812345670|9123456789|OUT|2026-09-08 10:45:52|77|359871042256641|404453456789012|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9812345670|9765432109|OUT|2026-09-08 10:49:03|42|359871042256641|404453456789012|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9812345670|9654321098|OUT|2026-09-08 10:54:19|38|359871042256641|404453456789012|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9812345670|9543210987|OUT|2026-09-08 10:59:47|55|359871042256641|404453456789012|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9812345670|9543210987|OUT|2026-09-08 11:05:12|29|359871042256641|404453456789012|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9701234567|9812345670|OUT|2026-09-07 21:14:08|122|359871042256641|404454567890123|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9701234567|9988112233|SMS-OUT|2026-09-07 21:40:31|0|359871042256641|404454567890123|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9988776655|9812345670|OUT|2026-09-08 08:32:55|64|359871042256641|404455678901234|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9988776655|9425889900|OUT|2026-09-08 09:02:10|31|359871042256641|404455678901234|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
9123456789|9812345670|OUT|2026-09-08 12:22:40|88|359871048123452|404452345678901|404-45-9912-11407|GIRIDIH SADAR BTS, JHARKHAND
